"nid","title","body","body_format","body_summary","sinopsis","image_fid","archivo_fid"
"2492","Comunicado sobre la prestación del servicio social durante la contingencia sanitaria por Covid-19","NULL","NULL","NULL","Las actividades presenciales seguirán suspendidas","8859","NULL"
"2493","Especialistas abordan la impartición de justicia durante contingencia por Covid-19","NULL","NULL","NULL","Realizan la tercera edición del #WebinarsUDG, a través de la plataforma Zoom y las redes sociales de esta Casa de Estudio","8860","NULL"
"2493","Especialistas abordan la impartición de justicia durante contingencia por Covid-19","NULL","NULL","NULL","Realizan la tercera edición del #WebinarsUDG, a través de la plataforma Zoom y las redes sociales de esta Casa de Estudio","8861","NULL"
"2493","Especialistas abordan la impartición de justicia durante contingencia por Covid-19","NULL","NULL","NULL","Realizan la tercera edición del #WebinarsUDG, a través de la plataforma Zoom y las redes sociales de esta Casa de Estudio","8862","NULL"
"2494","Reconoce federación internacional a académico del CUAAD","NULL","NULL","NULL","Fueron premiados perfiles de Malasia, Italia, Estados Unidos y México, con la representación del profesor de la UdeG","8863","NULL"
"2494","Reconoce federación internacional a académico del CUAAD","NULL","NULL","NULL","Fueron premiados perfiles de Malasia, Italia, Estados Unidos y México, con la representación del profesor de la UdeG","8864","NULL"
"2495","Laboratorios de UdeG han diagnosticado 15 casos de Covid-19 en Jalisco","NULL","NULL","NULL","En una semana, los tres laboratorios realizaron 797 muestras de casos sospechosos y el call center atendió mil 977 llamadas de ciudadanos","8874","NULL"
"2496","Lanza UdeG el Programa “Desde casa”, préstamo de computadoras para estudiantes","NULL","NULL","NULL","Prestará mil laptops y 500 iPads a estudiantes que no cuentan con equipo para conectarse en clase","8881","NULL"
"2496","Lanza UdeG el Programa “Desde casa”, préstamo de computadoras para estudiantes","NULL","NULL","NULL","Prestará mil laptops y 500 iPads a estudiantes que no cuentan con equipo para conectarse en clase","8882","NULL"
"2496","Lanza UdeG el Programa “Desde casa”, préstamo de computadoras para estudiantes","NULL","NULL","NULL","Prestará mil laptops y 500 iPads a estudiantes que no cuentan con equipo para conectarse en clase","8883","NULL"
